Message,Extracted,Expected
"MPIN changed successfully @CANDI on 13-Apr-2022 at 21:53:35. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank.",56161,nan
Alert:Secret otp for checking HDFC Bank Credit Card offers is 185235.It is valid till 2 mins.Please do not share otp with anyone.,nan,185235
Alert:Secret otp for checking HDFC Bank Credit Card offers is 776594.It is valid till 2 mins.Please do not share otp with anyone.,nan,776594
Alert:Secret otp for checking HDFC Bank Credit Card offers is 391019.It is valid till 2 mins.Please do not share otp with anyone.,nan,391019
Alert:Secret otp for checking HDFC Bank Credit Card offers is 190358.It is valid till 2 mins.Please do not share otp with anyone.,nan,190358
Alert:Secret otp for checking HDFC Bank Credit Card offers is 913987.It is valid till 2 mins.Please do not share otp with anyone.,nan,913987
otp for mobile no verification of user id farhatimran is 961660-IRCTC,nan,961660
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 572662.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,572662,nan
"MPIN changed successfully @CANDI on 13-Apr-2022 at 22:02:52. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank.",56161,nan
105542 Flipkart code valid 10 minutes. share OTP anyone. 546959,546959,105542
963979 Flipkart code valid 10 minutes. share OTP anyone. 546959,546959,963979
Enjoy unlimited high-speed data 12 6 every day /ViNFR 1699:4GB/DUL84D 461337:1.5GB/DUL84D5GB28D,461337,nan
"Your a/c XXXXXXXXXXXX8571 is debited Rs. 1300.00 on 2/28/2022 10:12:26 PM to GOPINATH S .
info :P2A/205916770412 -KVB",2022,nan
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 720589 Entry Fees - Win -,720589,nan
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 205000 Entry Fees - Win -,205000,nan
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 620392 2.5CR Entry Fees - Win -,620392,nan
"Dear Customer, otp to process your Kotak Bank Credit Card application is 409652. This otp is valid for 15 minutes.",nan,409652
Your SBI Debit Card ending with 8981 dispatched on 11042022 thru Speed Post No. EB049769289IN. Please follow instructions on welcome letter to generate your PIN,11042022,nan
786528 Flipkart code valid 10 minutes. share OTP anyone. 323964,323964,786528
937732 Flipkart code valid 10 minutes. share OTP anyone. 323964,323964,937732
otp to access your Health ID is 938249. This One Time Password will be valid for 10 mins.NHA,nan,938249
"Your debit card is dispatched to your address on 28/04/2022 via SPEED POST, AWB No. AX371642227IN. Generate Green PIN via BOB ATM/bob World app/Baroda Connect/IVR -Bank of Baroda",2022,nan
"Hi Sp davawala,


Thanks for your interest in Spinny. Your 2018 Maruti Suzuki Eeco's FREE DOORSTEP EVALUATION is waiting for you. Please click weurl.co/jk45BH.


With SellRight by Spinny, you get benefits of INSTANT PAYMENT, FREE RC TRANSFER and more!


You can call us on 727 727 7275 if you need any assistance.


SellRight by Spinny",2018,nan
got request linking account UPI 366740. kindly contact bank helpline no. 1-800-102-4455 immediately. - Bank Baroda,366740,nan
Thank you for shopping on Meesho! We'd love to hear your feedback on the item purchased. Click here sprw.io/sntt-2e1caf?o_id=836911286&u_id=7733613 Meesho,7733613,nan
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 42858.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,42858,nan
Slot Booking/Cancellation for Application: 236315,236315,nan
"LAST 2DAYS of FREE SHOPPING WEEK at CENTRAL

SHOP for Rs.3000 & GET Rs.3000 BACK TnC bit.ly/3rLi8kj

Rs500 OFF 598461815585 on Rs5999 + 10% OFF ICICI Bank cards",3000,nan
OTP online purchase Rs. 1000.00 One97 Communications thru State Bank Debit Card 459113 144009. share anyone.,459113,144009
"Dear Customer, otp to process your Kotak Bank Credit Card application is 839081. This otp is valid for 15 minutes.",nan,839081
got request linking account UPI 0882. kindly contact bank helpline no. 1-800-102-4455 immediately. - Bank Baroda,0882,nan
Arriving Today: Imran order partner 914461710281 PIN 1134. Track opt contactless /R4DEA6 .Please share delivery code 7174 delivery partner confirmation status. - Shadowfax,1134,7174
OTP online purchase Rs. 1000.00 One97 Communications thru State Bank Debit Card 459113 861719. share anyone.,459113,861719
OTP Online Transactions Indian Bank Debit Card 4988 KQS-548142.This valid next 5 min.Dt 21-04-22 11.38,4988,548142
"Dear Customer, To Change/Update your mobile number, please send the following otp and Ref No. to 567676 as: ACTIVATE 90424437  M0001783893. -SBI",567676,nan
OTP creating Health ID 161513. One Time Password valid 10 mins. NHA,nan,161513
got request linking account UPI 753865. kindly contact bank helpline no. 1-800-102-4455 immediately. - Bank Baroda,753865,nan
otp for online purchase of Rs. 1025.00 at VODAFONEIDEA thru State Bank Debit Card 5446*****63 is 742584. Do not share this with anyone.,5446,742584
Vi AlertYour Unlimited Pack EXPIRING TODAY Recharge /ViRC20 1699:4GB/DUL84D 678359:1.5GB/DUL84D5GB28D 3801:UL3GB/Day48GB84D,678359,nan
BharatPe Card: 4582 is your otp to complete agreement for BharatPe Card. NEVER SHARE THIS otp WITH ANYONE. 0Yhrllzku5k,nan,4582
900330 rupalu gurnchi nanu andukara nanu tocher chestanavu monday isthanu anthavarku naku phone cheyaku,900330,nan
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 542623. share anyone.,459113,542623
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 864126. share anyone.,459113,864126
"Dear Customer, otp for your NACH E-Mandate registration through Debit Card is 519899-Canara Bank.",nan,519899
Slot Booking/Cancellation for Application: 168384,168384,nan
Dear Sonabai Sudhakar Shambharkar eligible may avail precaution dose private vaccination center 26-04-2022. Please visit CoWIN,2022,nan
Deposit Cash in your wallet expires soon! Hurry! Use it to play on MPL. Win upto 10000 real cash on Spinwheel everyday this GIGL. Play Now: bit.ly/3L4xZ5m,10000,nan
OTP for Online Transactions: Indian Bank Debit Card 318708 557164. Valid for next 5 min.,318708,557164
"Celebrate this Ugadi with CENTRAL, 02 -15 Apr

Rs.2000 FREE Shopping as Future Pay Cash on Shopping of Rs.5999

Also choose from wide range of gifts too. TnC",5999,nan
Shadowfax rider 914461710281 PIN 1771 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 3522 Visit https://tracker.shadowfax.in,1771,3522
Arriving Today: Srinu order partner 914067820390 PIN 9165. Track opt contactless //track/23C134956D261D883E619E043E2A0CBA/Fwd/ .Please share delivery code 7330 delivery partner confirmation status. - Shadowfax,9165,7330
714676 ಬನಸ ಪಡಯರ ಈಗ A23 ರಮಮ ಡನಲಡ ಮಡ /s/jsL0hIiVOK,714676,nan
BharatPe Card: 0453 is your otp to complete agreement for BharatPe Card. NEVER SHARE THIS otp WITH ANYONE. 0Yhrllzku5k,nan,0453
Arriving Today: Imran order partner 914461710281 PIN 8683. Track opt contactless //track/25AEBB10A6112196BB637BB3271CEB43/Fwd/ .Please share delivery code 7720 delivery partner confirmation status. - Shadowfax,8683,7720
otp to validate mobile no. for Amazon Pay ICICI Bank Credit Card application is 434890. otps are SECRET. DO NOT disclose it to anyone.Bank NEVER asks for otp.,nan,434890
5000 ಬನಸ ಪಡಯರ ಈಗ A23 ರಮಮ ಡನಲಡ ಮಡ /s/jsL0hIiVOK,5000,nan
"CENTRAL Celebrates Festival of Fashion from 02 -11 Apr

Rs. 2000 FREE Shopping as Future Pay Cash on Shopping of Rs. 5999 . TnC",5999,nan
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 533636.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,533636,nan
Enjoy unlimited high-speed data 12 6 every day /ViNFR 1699:4GB/DUL84D 414507:1.5GB/DUL84D5GB28D,414507,nan
"SALARY 25000/- to 45000/- Per Month SIMPLE TYPING JOB DATA ENTRY,HAND WRITING WORK & MOBILE WORK Male/Female. Details Call Suhani 8882326925",25000,nan
Arriving Today: Srinu order partner 914071153148 PIN 5985. Track opt contactless /zwyJan .Please share delivery code 281353 delivery partner confirmation status. - Shadowfax,5985,281353
Shadowfax rider 914461710281 PIN 6826 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 1383 Visit https://tracker.shadowfax.in,6826,1383
Arriving Today: Srinu order partner 914071153148 PIN 7932. Track opt contactless /zwyJan .Please share delivery code 316656 delivery partner confirmation status. - Shadowfax,7932,316656
